time,id,mA,V,W
9.450,B,393.320,4.060,1.597
9.469,B,448.800,4.060,1.822
9.490,B,397.720,4.050,1.611
9.509,B,415.600,4.070,1.691
9.530,B,428.120,4.060,1.738
9.548,B,410.600,4.050,1.663
9.569,B,474.520,4.060,1.927
9.588,B,510.200,4.070,2.077
9.609,B,574.400,4.050,2.326
9.628,B,562.000,4.050,2.276
9.647,B,565.800,4.080,2.308
9.667,B,589.520,4.010,2.364
9.687,B,618.800,4.070,2.519
9.707,B,659.400,4.010,2.644
9.726,B,635.920,4.030,2.563
9.745,B,647.200,4.040,2.615
9.765,B,632.200,4.070,2.573
9.785,B,578.320,4.030,2.331
9.805,B,642.120,4.030,2.588
9.825,B,642.520,4.030,2.589
9.843,B,611.600,4.070,2.489
9.864,B,600.920,4.030,2.422
9.884,B,627.600,4.040,2.536
9.904,B,568.320,4.020,2.285
9.923,B,584.520,4.030,2.356
9.943,B,596.720,4.040,2.411
9.962,B,481.920,4.050,1.952
9.982,B,463.200,4.050,1.876
10.002,B,475.800,4.040,1.922
10.022,B,482.000,4.050,1.952
10.042,B,576.120,4.030,2.322
10.060,B,503.920,4.050,2.041
10.081,B,504.000,4.050,2.041
10.100,B,371.520,4.080,1.516
10.121,B,358.600,4.080,1.463
10.140,B,349.120,4.070,1.421
10.158,B,343.920,4.070,1.400
10.179,B,344.720,4.070,1.403
10.198,B,340.200,4.050,1.378
10.219,B,337.200,4.050,1.366
10.239,B,331.520,4.050,1.343
10.257,B,334.520,4.070,1.361
10.277,B,326.600,4.070,1.329
10.297,B,347.400,4.060,1.410
10.317,B,399.320,4.050,1.617
10.337,B,438.800,4.050,1.777
10.357,B,388.920,4.060,1.579
10.376,B,343.520,4.070,1.398
10.396,B,361.920,4.070,1.473
10.415,B,345.520,4.050,1.399
10.436,B,563.600,4.030,2.271
10.455,B,440.400,4.060,1.788
10.474,B,431.600,4.050,1.748
10.494,B,355.400,4.080,1.450
10.514,B,379.800,4.060,1.542
10.534,B,358.600,4.060,1.456
10.554,B,362.400,4.060,1.471
10.572,B,354.520,4.080,1.446
10.593,B,309.520,4.080,1.263
10.612,B,295.720,4.080,1.207
10.633,B,343.320,4.050,1.390
10.652,B,348.400,4.050,1.411
10.670,B,438.400,4.040,1.771
10.691,B,405.320,4.040,1.637
10.710,B,357.920,4.060,1.453
10.731,B,389.720,4.060,1.582
10.751,B,392.320,4.070,1.597
10.769,B,468.120,4.050,1.896
10.789,B,395.320,4.070,1.609
10.809,B,487.200,4.060,1.978
10.829,B,518.720,4.020,2.085
10.850,B,546.600,4.060,2.219
10.869,B,463.600,4.060,1.882
10.887,B,466.000,4.060,1.892
10.908,B,436.200,4.060,1.771
10.927,B,397.800,4.090,1.627
10.948,B,328.520,4.060,1.334
10.967,B,372.920,4.070,1.518
10.986,B,378.600,4.050,1.533
11.006,B,382.520,4.040,1.545
11.026,B,470.200,4.050,1.904
11.046,B,468.800,4.060,1.903
11.066,B,465.720,4.060,1.891
11.084,B,468.000,4.050,1.895
11.105,B,469.720,4.050,1.902
11.124,B,481.920,4.060,1.957
11.144,B,330.400,4.110,1.358
11.165,B,279.720,4.070,1.138
11.182,B,325.920,4.060,1.323
11.203,B,323.920,4.080,1.322
11.222,B,328.800,4.070,1.338
11.243,B,251.400,4.060,1.021
11.263,B,303.720,4.080,1.239
11.283,B,294.520,4.070,1.199
11.301,B,318.120,4.070,1.295
11.322,B,320.600,4.060,1.302
11.341,B,258.200,4.090,1.056
11.362,B,252.000,4.080,1.028
11.381,B,256.800,4.080,1.048
11.399,B,258.920,4.070,1.054
11.420,B,311.120,4.070,1.266
11.439,B,335.200,4.060,1.361
11.460,B,322.520,4.060,1.309
11.479,B,318.520,4.070,1.296
11.498,B,308.600,4.070,1.256
11.518,B,297.520,4.070,1.211
11.539,B,307.600,4.070,1.252
11.558,B,389.000,4.070,1.583
11.579,B,372.720,4.070,1.517
11.596,B,436.400,4.060,1.772
11.616,B,443.000,4.050,1.794
11.636,B,448.720,4.060,1.822
11.656,B,479.520,4.060,1.947
11.677,B,465.920,4.060,1.892
11.694,B,459.600,4.060,1.866
11.715,B,452.520,4.050,1.833
11.735,B,443.320,4.060,1.800
11.755,B,459.120,4.050,1.859
11.775,B,468.000,4.060,1.900
11.795,B,391.800,4.080,1.599
11.813,B,417.000,4.070,1.697
11.833,B,398.400,4.060,1.618
11.853,B,436.200,4.040,1.762
11.873,B,424.720,4.070,1.729
11.893,B,441.320,4.050,1.787
11.911,B,514.800,4.030,2.075
11.932,B,584.000,4.040,2.359
11.951,B,566.520,4.040,2.289
11.972,B,580.720,4.030,2.340
11.991,B,564.520,4.040,2.281
12.011,B,561.520,4.040,2.269
12.030,B,563.120,4.060,2.286
12.051,B,550.800,4.040,2.225
12.070,B,538.000,4.050,2.179
12.090,B,527.120,4.050,2.135
12.109,B,500.600,4.060,2.032
12.128,B,441.720,4.060,1.793
12.149,B,518.120,4.040,2.093
12.168,B,533.200,4.040,2.154
12.189,B,524.520,4.050,2.124
12.208,B,535.120,4.050,2.167
12.227,B,473.920,4.070,1.929
12.247,B,465.720,4.030,1.877
12.267,B,527.000,4.050,2.134
12.287,B,521.720,4.080,2.129
12.307,B,423.600,4.070,1.724
12.325,B,387.120,4.070,1.576
12.345,B,440.200,4.060,1.787
12.365,B,438.920,4.060,1.782
12.385,B,426.800,4.070,1.737
12.405,B,402.320,4.050,1.629
12.423,B,386.320,4.080,1.576
12.444,B,322.520,4.080,1.316
12.464,B,315.800,4.070,1.285
12.484,B,308.720,4.080,1.260
12.504,B,379.400,4.050,1.537
12.522,B,401.000,4.070,1.632
12.542,B,389.920,4.050,1.579
12.562,B,373.400,4.080,1.523
12.582,B,324.520,4.070,1.321
12.602,B,373.200,4.060,1.515
12.620,B,396.120,4.060,1.608
12.640,B,395.600,4.070,1.610
12.661,B,397.320,4.060,1.613
12.680,B,410.320,4.070,1.670
12.701,B,478.320,4.060,1.942
12.720,B,579.600,4.050,2.347
12.739,B,544.000,4.070,2.214
12.759,B,447.200,4.060,1.816
12.779,B,419.520,4.060,1.703
12.799,B,396.400,4.070,1.613
12.818,B,403.320,4.060,1.637
12.837,B,393.920,4.060,1.599
12.857,B,388.600,4.070,1.582
12.877,B,425.600,4.060,1.728
