machine,utime,sURI,path,file,date,ffversion,endTime,kwatthours,kwh,max,mean,min,seconds,startTime,std,sum,type,var
"reptile",1328905032,"vuze-26766.jar","/home/abez/green-results/reptile-1328905032-vuze-26766.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328905671,0.0039,0.00395066777963275,24.4,23.7040066777965,21.5,600,1328905071,0.265554206776932,14198.7000000001,wattageSummary,0.0705190367369257
"reptile",1328905690,"vuze-26788.jar","/home/abez/green-results/reptile-1328905690-vuze-26788.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328906332,0.0039,0.00398036111111111,24.4,23.8821666666666,21.5,600,1328905732,0.293670523182235,14329.3,wattageSummary,0.0862423761861277
"reptile",1328906351,"vuze-26732.jar","/home/abez/green-results/reptile-1328906351-vuze-26732.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328906992,0.0039,0.00396103716028843,24.7,23.7662229617306,21.5,600,1328906392,0.313007790424542,14283.5000000001,wattageSummary,0.0979738768664538
"reptile",1328907014,"vuze-26780.jar","/home/abez/green-results/reptile-1328907014-vuze-26780.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328907654,0.0039,0.00397796327212018,24.5,23.8677796327211,21.6,600,1328907054,0.275195725167272,14296.7999999999,wattageSummary,0.0757326871503408
"reptile",1328907678,"vuze-26779.jar","/home/abez/green-results/reptile-1328907678-vuze-26779.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328908316,0.0039,0.00395347801892044,24.5,23.7208681135227,21.5,600,1328907716,0.262446518133762,14208.8000000001,wattageSummary,0.0688781748805351
"reptile",1328908337,"vuze-26730.jar","/home/abez/green-results/reptile-1328908337-vuze-26730.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328908978,0.0022,0.00399192708333332,24.7,23.9515624999999,21.6,600,1328908378,0.326292996512132,13796.0999999999,wattageSummary,0.106467119572866
"reptile",1328908999,"vuze-26747.jar","/home/abez/green-results/reptile-1328908999-vuze-26747.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328909639,0.0039,0.00396196902777779,24.6,23.8115000000001,21.5,599,1328909040,0.2935325403609,14286.9000000001,wattageSummary,0.0861613522507235
"reptile",1328909660,"vuze-26776.jar","/home/abez/green-results/reptile-1328909660-vuze-26776.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328910298,0.0039,0.00397644486111109,24.5,23.8984999999999,21.6,599,1328909699,0.275876657024993,14339.0999999999,wattageSummary,0.0761079298912855
"reptile",1328910321,"vuze-26799.jar","/home/abez/green-results/reptile-1328910321-vuze-26799.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328910962,0.0027,0.00392946069994265,24.4,23.5767641996559,21.5,600,1328910362,0.264758565009231,13698.1000000001,wattageSummary,0.0700970977457473
"reptile",1328910983,"vuze-26747.jar","/home/abez/green-results/reptile-1328910983-vuze-26747.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328911626,0.004,0.00399222407407407,24.7,23.9933333333333,21.5,599,1328911027,0.314569248195933,14396,wattageSummary,0.0989538119105546
"reptile",1328911648,"vuze-26760.jar","/home/abez/green-results/reptile-1328911648-vuze-26760.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328912287,0.003,0.00395353623188409,24.4,23.7212173913046,21.5,600,1328911687,0.273642190585338,13639.7000000001,wattageSummary,0.0748800484683423
"reptile",1328912306,"vuze-26776.jar","/home/abez/green-results/reptile-1328912306-vuze-26776.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328912947,0.0039,0.00399121773288439,24.4,23.9473063973063,21.7,600,1328912347,0.200508166553026,14224.7,wattageSummary,0.0402035248544559
